data_center_id,data_center,source_kind,source_index,source_title,source_url
dc__microsoft_goodyear,Microsoft Goodyear,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/12pVrAs40UMGZwxdJz5lyFlr-CATUwl4Im42BVDvi8-A/edit?usp=sharing
dc__microsoft_goodyear,Microsoft Goodyear,selected_source,1,Maricopa County map,https://gis.maricopa.gov/aqd/recordsviewer/#
dc__microsoft_goodyear,Microsoft Goodyear,selected_source,2,Dust control permit,https://edms.maricopa.gov/aq/api/Document/AQizTh7Ek3Odb1UYnAFQc%C3%81Z0k59aCsu4%C3%890gw6xcPqnhTfYtG7scD%C3%89BewWyX4qdzXFk%C3%81xL9%C3%89VthN71ODAxZuKKeU%3D/
dc__microsoft_goodyear,Microsoft Goodyear,selected_source,3,SemiAnalysis article,https://newsletter.semianalysis.com/p/microsofts-ai-strategy-deconstructed
dc__openai_stargate_abilene,OpenAI Stargate Abilene,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/197BW-5tHutOzJ_LTv990eCO_M8nUXT2t1nl--UfMIUk/edit?usp=sharing
dc__openai_stargate_abilene,OpenAI Stargate Abilene,selected_source,1,"Crusoe 2024 Impact Report, with details on Abilene",https://drive.google.com/file/d/1oHWA9vmpvFOh-LvDy5fgq_wq5ITuxd1r/view?usp=sharing
dc__openai_stargate_abilene,OpenAI Stargate Abilene,selected_source,2,"Air Permit Application for buildings 1-2, featuring blueprints on p.157",https://drive.google.com/file/d/1FgfX6hqojlBtqNXJHjzJmnwWAMx4_M0b/view?usp=sharing
dc__openai_stargate_abilene,OpenAI Stargate Abilene,selected_source,3,"Mortensen’s profile of the project, with details of substations",https://www.mortenson.com/projects/abilene-data-center-development
dc__openai_stargate_shackelford,OpenAI Stargate Shackelford,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/13BiLKveH7pjsXRUAbfZsLUvjEzwRT-PVn79UDE69ofM/edit?usp=sharing
dc__openai_stargate_shackelford,OpenAI Stargate Shackelford,selected_source,1,"Vantage data center page with power capacity, number of buildings, and first building timeline",https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx
dc__openai_stargate_shackelford,OpenAI Stargate Shackelford,selected_source,2,OpenAI Stargate expansion announcement mentioning Shackelford site,https://openai.com/index/five-new-stargate-sites/
dc__openai_stargate_shackelford,OpenAI Stargate Shackelford,selected_source,3,Vantage LinkedIn post connecting the data center to OpenAI Stargate,https://web.archive.org/web/20260226203340/https://www.linkedin.com/posts/vantage-data-centers_ai-digitalinfrastructure-stargate-activity-7405254667062124544-FOcd/?rcm=ACoAAAmuuF4BvsgagH4Z8-Z8-0LaBPPY6467cAs
dc__openai_stargate_uae,OpenAI Stargate UAE,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/11es1WqQ3StAuMjFOYQ1wzq6YpwQCb-Uz996EvZpnsAs/edit?usp=sharing
dc__openai_stargate_uae,OpenAI Stargate UAE,selected_source,1,News update with timelapse of construction,https://www.khaleejtimes.com/uae/stargate-uae-phase-1-in-two-years
dc__openai_stargate_uae,OpenAI Stargate UAE,selected_source,2,Announcement of the (separate) 100 MW Khazna Ajman data center,https://khaznadatacenters.com/press-release/khazna-announces-the-uaes-first-ai-optimized-data-center-and-the-largest-in-its-portfolio-powering-the-nations-drive-toward-ai-leadership/
dc__openai_stargate_uae,OpenAI Stargate UAE,selected_source,3,News about the US approval of NVIDIA chips in the UAE,https://www.bloomberg.com/news/articles/2025-10-09/us-approves-several-billion-dollars-of-nvidia-nvda-ai-chip-sales-to-uae
