month_end,company,total_gw,floor_gw,uplift_gw,estimate_basis,floor_basis,floor_event_count,floor_events,anchor_label,anchor_target_gw,anchor_note,pacing_interval,pacing_blend_weight
2023-12-31,OpenAI,0.2,0.053,0.147,anchored_estimate,carried_floor,0,,2023 year-end,0.2,"OpenAI is from the company memo series. Anthropic is a triangulated range from Google continuity, TPU usage, and CMA evidence of Google/Amazon compute sourcing.",Synthetic January 2023 baseline -> 2023 year-end,0.2326
2024-01-31,Anthropic,0.081968,0.0,0.081968,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-01-31,OpenAI,0.20787,0.053,0.15487,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-02-29,Anthropic,0.087407,0.0,0.087407,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-02-29,OpenAI,0.22963,0.053,0.17663,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-03-31,Anthropic,0.095625,0.0,0.095625,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-03-31,OpenAI,0.2625,0.053,0.2095,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-04-30,Anthropic,0.105926,0.0,0.105926,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-04-30,OpenAI,0.303704,0.053,0.250704,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-05-31,Anthropic,0.117616,0.0,0.117616,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-05-31,OpenAI,0.350463,0.053,0.297463,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-06-30,Anthropic,0.13,0.0,0.13,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-06-30,OpenAI,0.4,0.053,0.347,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-07-31,Anthropic,0.142384,0.0,0.142384,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-07-31,OpenAI,0.449537,0.053,0.396537,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-08-31,Anthropic,0.154074,0.0,0.154074,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-08-31,OpenAI,0.496296,0.053,0.443296,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-09-30,Anthropic,0.164375,0.0,0.164375,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-09-30,OpenAI,0.5375,0.053,0.4845,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-10-31,Anthropic,0.172593,0.0,0.172593,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-10-31,OpenAI,0.57037,0.053,0.51737,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-11-30,Anthropic,0.178032,0.0,0.178032,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-11-30,OpenAI,0.59213,0.053,0.53913,paced_month,carried_floor,0,,,,,2023 year-end -> 2024 year-end,0.14
2024-12-31,Anthropic,0.18,0.0,0.18,anchored_estimate,carried_floor,0,,2024 year-end,0.18,"Anthropic 2024 is explicitly not zero. The public estimate comes from AWS primary-training-partner evidence and the December 2024 Rainier >5x statement, constrained by later Rainier site scale.",2023 year-end -> 2024 year-end,0.14
2024-12-31,OpenAI,0.6,0.053,0.547,anchored_estimate,carried_floor,0,,2024 year-end,0.6,"Anthropic 2024 is explicitly not zero. The public estimate comes from AWS primary-training-partner evidence and the December 2024 Rainier >5x statement, constrained by later Rainier site scale.",2023 year-end -> 2024 year-end,0.14
2025-01-31,Anthropic,0.188336,0.0,0.188336,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-01-31,OpenAI,0.648883,0.105,0.543883,paced_month,observed_site_change_month,1,Microsoft Goodyear +0.052 GW,,,,2024 year-end -> 2025 year-end,0.5013
2025-02-28,Anthropic,0.211383,0.0,0.211383,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-02-28,OpenAI,0.684151,0.105,0.579151,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.5013
2025-03-31,Anthropic,0.246199,0.0,0.246199,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-03-31,OpenAI,0.73743,0.105,0.63243,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.5013
2025-04-30,Anthropic,0.289841,0.0,0.289841,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-04-30,OpenAI,0.804215,0.105,0.699215,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.5013
2025-05-31,Anthropic,0.339368,0.0,0.339368,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-05-31,OpenAI,0.880005,0.105,0.775005,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.5013
2025-06-30,Anthropic,0.914082,0.819,0.095082,paced_month,observed_site_change_month,2,Amazon Madison Mega Site +0.341 GW | Anthropic-Amazon New Carlisle +0.478 GW,,,,2024 year-end -> 2025 year-end,0.6217
2025-06-30,OpenAI,1.062423,0.252,0.810423,paced_month,observed_site_change_month,1,OpenAI Stargate Abilene +0.147 GW,,,,2024 year-end -> 2025 year-end,0.5013
2025-07-31,Anthropic,0.96655,0.819,0.14755,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-07-31,OpenAI,1.142715,0.252,0.890715,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.5013
2025-08-31,Anthropic,1.016077,0.819,0.197077,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-08-31,OpenAI,1.218505,0.252,0.966505,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.5013
2025-09-30,Anthropic,1.059719,0.819,0.240719,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-09-30,OpenAI,1.497878,0.558,0.939878,paced_month,observed_site_change_month,2,Microsoft Goodyear +0.158 GW | OpenAI Stargate Abilene +0.148 GW,,,,2024 year-end -> 2025 year-end,0.5013
2025-10-31,Anthropic,1.094535,0.819,0.275535,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-10-31,OpenAI,1.851975,0.991,0.860975,paced_month,observed_site_change_month,1,Microsoft Fairwater Atlanta +0.433 GW,,,,2024 year-end -> 2025 year-end,0.5013
2025-11-30,Anthropic,1.117582,0.819,0.298582,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.6217
2025-11-30,OpenAI,1.887243,0.991,0.896243,paced_month,carried_floor,0,,,,,2024 year-end -> 2025 year-end,0.5013
2025-12-31,Anthropic,1.3,1.092,0.208,anchored_estimate,observed_site_change_month,1,Anthropic-Amazon New Carlisle +0.273 GW,2025 year-end,1.3,Anthropic year-end 2025 visible floor is 1.092 GW; public AWS and Google platform evidence imply actual compute access likely exceeded that floor.,2024 year-end -> 2025 year-end,0.6217
2025-12-31,OpenAI,1.9,0.991,0.909,anchored_estimate,carried_floor,0,,2025 year-end,1.9,Anthropic year-end 2025 visible floor is 1.092 GW; public AWS and Google platform evidence imply actual compute access likely exceeded that floor.,2024 year-end -> 2025 year-end,0.5013
2026-01-31,Anthropic,1.321778,1.092,0.229778,paced_month,carried_floor,0,,,,,2025 year-end -> March 2026 current,0.72
2026-01-31,OpenAI,1.907259,0.991,0.916259,paced_month,carried_floor,0,,,,,2025 year-end -> March 2026 current,0.72
2026-02-28,Anthropic,1.362222,1.092,0.270222,paced_month,carried_floor,0,,,,,2025 year-end -> March 2026 current,0.72
2026-02-28,OpenAI,1.920741,0.991,0.929741,paced_month,carried_floor,0,,,,,2025 year-end -> March 2026 current,0.72
2026-03-31,Anthropic,1.6,1.433,0.167,anchored_estimate,observed_site_change_month,1,Anthropic-Amazon New Carlisle +0.341 GW,March 2026 current,1.6,Current 2026 ranges use the floor as a hard lower bound. OpenAI carries forward the official 1.9 GW 2025 company total as the clean minimum best-view anchor; Anthropic allows a partial Google uplift above the AWS-heavy visible floor.,2025 year-end -> March 2026 current,0.72
2026-03-31,OpenAI,2.0,1.546,0.454,anchored_estimate,observed_site_change_month,1,Microsoft Fairwater Wisconsin +0.555 GW,March 2026 current,2,Current 2026 ranges use the floor as a hard lower bound. OpenAI carries forward the official 1.9 GW 2025 company total as the clean minimum best-view anchor; Anthropic allows a partial Google uplift above the AWS-heavy visible floor.,2025 year-end -> March 2026 current,0.72
2026-04-30,Anthropic,1.626824,1.433,0.193824,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.5399
2026-04-30,OpenAI,2.228231,1.841,0.387231,paced_month,observed_site_change_month,1,OpenAI Stargate Abilene +0.295 GW,,,,March 2026 current -> 2026 year-end,0.717
2026-05-31,Anthropic,1.959557,1.755,0.204557,paced_month,observed_site_change_month,2,Amazon Ridgeland +0.273 GW | Fluidstack Lake Mariner +0.049 GW,,,,March 2026 current -> 2026 year-end,0.5399
2026-05-31,OpenAI,2.577005,2.267,0.310005,paced_month,observed_site_change_month,1,Microsoft Fairwater Atlanta +0.426 GW,,,,March 2026 current -> 2026 year-end,0.717
2026-06-30,Anthropic,2.174614,1.892,0.282614,paced_month,observed_site_change_month,1,Anthropic-Amazon New Carlisle +0.137 GW,,,,March 2026 current -> 2026 year-end,0.5399
2026-06-30,OpenAI,2.637262,2.267,0.370262,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.717
2026-07-31,Anthropic,2.298003,1.892,0.406003,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.5399
2026-07-31,OpenAI,3.134102,2.857,0.277102,paced_month,observed_site_change_month,1,OpenAI Stargate Abilene +0.590 GW,,,,March 2026 current -> 2026 year-end,0.717
2026-08-31,Anthropic,2.42783,1.892,0.53583,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.5399
2026-08-31,OpenAI,3.209268,2.857,0.352268,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.717
2026-09-30,Anthropic,2.938437,2.37,0.568437,paced_month,observed_site_change_month,1,Amazon Madison Mega Site +0.478 GW,,,,March 2026 current -> 2026 year-end,0.5399
2026-09-30,OpenAI,3.280707,2.857,0.423707,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.717
2026-10-31,Anthropic,3.201289,2.566,0.635289,paced_month,observed_site_change_month,1,Fluidstack Lake Mariner +0.196 GW,,,,March 2026 current -> 2026 year-end,0.5399
2026-10-31,OpenAI,3.340964,2.857,0.483964,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.717
2026-11-30,Anthropic,3.273176,2.566,0.707176,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.5399
2026-11-30,OpenAI,3.382585,2.857,0.525585,paced_month,carried_floor,0,,,,,March 2026 current -> 2026 year-end,0.717
2026-12-31,Anthropic,3.3,2.566,0.734,anchored_estimate,carried_floor,0,,2026 year-end,3.3,Year-end 2026 ranges start from the heuristic site-backed lower bounds. OpenAI adds only selective non-floor site/provider lanes such as Norway and Cerebras; Anthropic adds a mostly separate Google platform on top of the tracked AWS-heavy floor.,March 2026 current -> 2026 year-end,0.5399
2026-12-31,OpenAI,3.6,3.137,0.463,anchored_estimate,observed_site_change_month,1,OpenAI Stargate UAE +0.280 GW,2026 year-end,3.6,Year-end 2026 ranges start from the heuristic site-backed lower bounds. OpenAI adds only selective non-floor site/provider lanes such as Norway and Cerebras; Anthropic adds a mostly separate Google platform on top of the tracked AWS-heavy floor.,March 2026 current -> 2026 year-end,0.717
2027-01-31,Anthropic,3.333671,2.566,0.767671,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-01-31,OpenAI,3.737905,3.333,0.404905,paced_month,observed_site_change_month,1,OpenAI Stargate Shackelford +0.196 GW,,,,2026 year-end -> 2027 year-end,0.72
2027-02-28,Anthropic,3.42676,2.566,0.86076,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-02-28,OpenAI,4.126812,3.887,0.239812,paced_month,observed_site_change_month,1,Microsoft Fairwater Wisconsin +0.554 GW,,,,2026 year-end -> 2027 year-end,0.72
2027-03-31,Anthropic,3.77554,2.762,1.01354,paced_month,observed_site_change_month,1,Fluidstack Lake Mariner +0.196 GW,,,,2026 year-end -> 2027 year-end,0.3662
2027-03-31,OpenAI,4.186636,3.887,0.299636,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.72
2027-04-30,Anthropic,3.951816,2.762,1.189816,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-04-30,OpenAI,4.261627,3.887,0.374627,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.72
2027-05-31,Anthropic,4.151859,2.762,1.389859,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-05-31,OpenAI,5.046601,4.997,0.049601,paced_month,observed_site_change_month,1,Microsoft Fairwater Wisconsin +1.110 GW,,,,2026 year-end -> 2027 year-end,0.72
2027-06-30,Anthropic,4.363786,2.762,1.601786,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-06-30,OpenAI,5.136759,4.997,0.139759,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.72
2027-07-31,Anthropic,4.575713,2.762,1.813713,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-07-31,OpenAI,5.226916,4.997,0.229916,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.72
2027-08-31,Anthropic,4.775756,2.762,2.013756,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-08-31,OpenAI,5.312018,4.997,0.315018,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.72
2027-09-30,Anthropic,5.732616,3.497,2.235616,paced_month,observed_site_change_month,1,Amazon Ridgeland +0.735 GW,,,,2026 year-end -> 2027 year-end,0.3662
2027-09-30,OpenAI,6.106,6.106,0.0,paced_month,observed_site_change_month,1,Microsoft Fairwater Wisconsin +1.109 GW,,,,2026 year-end -> 2027 year-end,0.72
2027-10-31,Anthropic,5.87324,3.497,2.37624,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-10-31,OpenAI,6.146074,6.106,0.040074,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.72
2027-11-30,Anthropic,5.966329,3.497,2.469329,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.3662
2027-11-30,OpenAI,6.185676,6.106,0.079676,paced_month,carried_floor,0,,,,,2026 year-end -> 2027 year-end,0.72
2027-12-31,Anthropic,6.0,3.497,2.503,anchored_estimate,carried_floor,0,,2027 year-end,6,Year-end 2027 ranges again start from the lower-bound floor. OpenAI remains sensitive to the full Wisconsin attribution; Anthropic now steps materially higher because the April 6 2026 Google/Broadcom announcement points to a much larger Google TPU lane starting in 2027.,2026 year-end -> 2027 year-end,0.3662
2027-12-31,OpenAI,6.2,6.106,0.094,anchored_estimate,carried_floor,0,,2027 year-end,6.2,Year-end 2027 ranges again start from the lower-bound floor. OpenAI remains sensitive to the full Wisconsin attribution; Anthropic now steps materially higher because the April 6 2026 Google/Broadcom announcement points to a much larger Google TPU lane starting in 2027.,2026 year-end -> 2027 year-end,0.72
2028-01-31,Anthropic,6.019676,3.497,2.522676,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-01-31,OpenAI,7.226,7.226,0.0,paced_month,observed_site_change_month,1,OpenAI Stargate UAE +1.120 GW,,,,2027 year-end -> 2028 year-end,0.72
2028-02-29,Anthropic,6.074074,3.497,2.577074,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-02-29,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-03-31,Anthropic,6.15625,3.497,2.65925,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-03-31,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-04-30,Anthropic,6.259259,3.497,2.762259,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-04-30,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-05-31,Anthropic,6.376157,3.497,2.879157,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-05-31,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-06-30,Anthropic,6.5,3.497,3.003,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-06-30,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-07-31,Anthropic,6.623843,3.497,3.126843,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-07-31,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-08-31,Anthropic,6.740741,3.497,3.243741,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-08-31,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-09-30,Anthropic,6.84375,3.497,3.34675,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-09-30,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-10-31,Anthropic,6.925926,3.497,3.428926,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-10-31,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-11-30,Anthropic,6.980324,3.497,3.483324,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.18
2028-11-30,OpenAI,7.226,7.226,0.0,paced_month,carried_floor,0,,,,,2027 year-end -> 2028 year-end,0.72
2028-12-31,Anthropic,7.0,3.497,3.503,anchored_estimate,carried_floor,0,,2028 year-end,7,"Beyond 2027, the public floor stays incomplete. OpenAI remains a conservative rounded floor proxy, while Anthropic now sits well above its own 2028 5 GW training-run anchor because the April 2026 Google/Broadcom update implies a larger continuing Google lane.",2027 year-end -> 2028 year-end,0.18
2028-12-31,OpenAI,7.226,7.226,0.0,anchored_estimate,carried_floor,0,,2028 year-end,7.2,"Beyond 2027, the public floor stays incomplete. OpenAI remains a conservative rounded floor proxy, while Anthropic now sits well above its own 2028 5 GW training-run anchor because the April 2026 Google/Broadcom update implies a larger continuing Google lane.",2027 year-end -> 2028 year-end,0.72
2029-01-31,Anthropic,7.011806,3.497,3.514806,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-01-31,OpenAI,8.99,8.99,0.0,paced_month,observed_site_change_month,1,OpenAI Stargate Shackelford +1.764 GW,,,,2028 year-end -> 2029 year-end,0.7092
2029-02-28,Anthropic,7.044444,3.497,3.547444,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-02-28,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-03-31,Anthropic,7.09375,3.497,3.59675,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-03-31,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-04-30,Anthropic,7.155556,3.497,3.658556,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-04-30,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-05-31,Anthropic,7.225694,3.497,3.728694,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-05-31,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-06-30,Anthropic,7.3,3.497,3.803,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-06-30,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-07-31,Anthropic,7.374306,3.497,3.877306,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-07-31,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-08-31,Anthropic,7.444444,3.497,3.947444,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-08-31,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-09-30,Anthropic,7.50625,3.497,4.00925,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-09-30,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-10-31,Anthropic,7.555556,3.497,4.058556,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-10-31,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-11-30,Anthropic,7.588194,3.497,4.091194,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.18
2029-11-30,OpenAI,8.99,8.99,0.0,paced_month,carried_floor,0,,,,,2028 year-end -> 2029 year-end,0.7092
2029-12-31,Anthropic,7.6,3.497,4.103,anchored_estimate,carried_floor,0,,2029 year-end,7.6,"2029 remains overlap-heavy, but a decline would be nonsensical given the higher 2028 anchor and continued River Bend, Google, and Microsoft-linked ramps. Anthropic therefore steps up again above the revised 2028 anchor.",2028 year-end -> 2029 year-end,0.18
2029-12-31,OpenAI,9.0,8.99,0.01,anchored_estimate,carried_floor,0,,2029 year-end,9,"2029 remains overlap-heavy, but a decline would be nonsensical given the higher 2028 anchor and continued River Bend, Google, and Microsoft-linked ramps. Anthropic therefore steps up again above the revised 2028 anchor.",2028 year-end -> 2029 year-end,0.7092
